model,provider,Playground,parameters,training tokens,Chinchilla ratio,ALScore,MMLU,MMLU-Pro,GPQA,Training dataset,Announced,Public?,Paper / Repo,Arch,Notes,
Claude 3.5 Sonnet,Anthropic,https://claude.ai/,175,2000,12:01,6.2,87.4,66.5,61.6,🆆 📚⬆ 🕸 🌋,24-Jul,🟢,https://www-cdn.anthropic.com/de8ba9b01c9ab7cbabf5c33b80b7bbc618857627/Model_Card_Claude_3_5_Sonnet.pdf,Dense,"MMLU=87.4 (better than GPT-4). GPQA=52.4 & math=65.4. Anthropic claims: ""Today's update is more truthful and less persuadable for harmful requests, and better at avoiding tools we don't want our models to use.""",
Llama 3 70B,Meta AI,https://llama.meta.com/,70,15000,214:01:00,,82,,,🆆 📚⬆ 🕸 📊 🌋 (LIMA + UltraChat),24-Apr,🟢,https://ai.meta.com/blog/meta-llama-3/,Dense,"8k context. Original MMLU=76. MMLU=82 with 5-shot CoT. Uses RLHF. Use with Llama Guard for safety. System message for Llama 3 Chat: ""You are a helpful AI assistant created by Meta. Your goal is to assist users by answering their questions and responding in the best way possible. You can help with information, advice, and assistance on a wide range of topics, but if asked to do something harmful, illegal, or unethical, you should respond by explaining that you can't help with such requests. Similarly, if you don't know the answer to a question, just say so rather than making something up.""",
GPT-4o mini,OpenAI,https://chat.openai.com/,1760,13000,8:01,,86.4,,,,24-Aug,🟢,,,128k context. Was $5/month tier.,
ChatGPT (gpt-3.5-turbo),OpenAI,https://chat.openai.com,130,1300,10:01,,70,45.7,26.7,𝕎 📚,22-Nov,🟢,,,,
Claude 3.7 Sonnet,Anthropic,https://claude.ai/,175,2000,12:01,,89.7,,,🆆 📚⬆ 🕸 🌋,25-Feb,🟢,,,,
GPT-3,OpenAI,https://platform.openai.com,175,300,1.7:1,1.7,70,,,𝕎,20-Jun,🔴,https://arxiv.org/abs/2005.14165,Dense,"2049 context. Original MMLU=70.0, but with CoT prompting can reach 73.0. GPT-3 API has 4k context.",
Llama 3.2 90B,Meta AI,llama.meta.com,90,15000,167:01:00,4.7,82.4,,,🆆 📚⬆ 🕸 📊 🌋 (LIMA + UltraChat),24-Sep,🟢,https://ai.meta.com/blog/meta-llama-3-2/,Dense,,
Code Llama 34B,Meta AI,https://ai.meta.com/resources/models-and-libraries/code-llama/,34,1000,30:01:00,,52.2,,,π 💻,23-Aug,🟢,https://github.com/facebookresearch/codellama,,Fine-tuned LLaMA 2. Has Llama-3 version too.,
Flan-T5,Google,https://huggingface.co/docs/transformers/model_doc/flan-t5,11,1000,90:01:00,,58.7,,,𝕎,22-Oct,🟢,https://arxiv.org/abs/2210.11416,,Fine tuned version of T5. One of first instruction tuned models.,
Original Transformer,Google,https://www.tensorflow.org/text/tutorials/transformer,,,,,,,,,17-Jun,🟢,https://arxiv.org/abs/1706.03762,,https://ai.google/static/documents/transformer-attention-is-all-you-need.pdf,
DeepSeek-Chinese-16B,DeepSeek-AI,https://aignct.com/,16,4000,250:01:00,,67.8,,,🆆 📚⬆ 🕸 🌋,24-Jan,🟢,https://github.com/deepseek-ai/DeepSeek-Chinese,,,
BERT,Google,https://huggingface.co/docs/transformers/model_doc/bert,0.3,,,,,,,𝕎 📚,18-Oct,🟢,https://arxiv.org/abs/1810.04805,,,
Claude 2.1,Anthropic,https://claude.ai/,130,1500,12:01,,79.3,56.2,43.5,🆆 📚⬆,23-Nov,🟢,,,200k context.,
Yi-34B,01.AI,https://platform.lingyiwanwu.com/,34,3000,88:01:00,,76.3,,,🆆 📚⬆ 🕸 🌋,23-Nov,🟢,https://arxiv.org/abs/2403.04652,,,
Yi-Large-V2,01.AI,https://platform.lingyiwanwu.com/,18,2400,133:01:00,,77,,,🆆 📚⬆ 🕸 🌋,24-May,🟢,,,V2=larger context.,
DBRX,Databricks,https://arxiv.org/pdf/2402.18039.pdf,132,12400,94:01:00,,80.1,,,🆆 📚⬆ 🕸 🌋,24-Feb,🟢,https://arxiv.org/abs/2402.18039,MoE,7B base model. 1.3T tokens = 2T processed through decoder with half-sequence MoE.,
Gemini 1.5 Ultra,Google DeepMind,https://deepmind.google/technologies/gemini/,270,30000,111:01:00,,87.7,,,🆆 📚⬆ 🕸 🌋 (over 2T),24-Jul,🟢,,,1M context.,
Qwen1.5-110B,Alibaba,https://help.aliyun.com/document_detail/2400395.html,110,3400,31:01:00,,81,,,🆆 📚⬆ 🕸 📊 🌋 (110B tokens),24-Mar,🟢,https://arxiv.org/abs/2309.16609,,,
Grok-1.5,xAI,https://grok.x.ai/,314,8000,26:01:00,,83.5,,,🆆 📚⬆ 🕸 📊 🌋,24-May,🟢,https://x.ai/blog/grok-1.5,,314B parameters. Very similar to Llama 2.,
Claude 2,Anthropic,https://claude.ai/,130,1500,12:01,,74.4,52,35.7,🆆 📚⬆,23-Jul,🟢,,,,
Gemma 7B (base, not-instruct),Google DeepMind,https://ai.google.dev/gemma,7,6000,858:01:00,,64.3,,🆆 📚⬆ 🕸 🌋,24-Feb,🟢,,https://storage.googleapis.com/deepmind-media/gemma/gemma-report.pdf,Dense,"Essentially a ""Llama-3 killer"" - a very good open 7B model."
Pythia,EleutherAI,https://github.com/EleutherAI/pythia,12,300,25:01:00,,34.6,,,π,22-Dec,🟢,https://arxiv.org/abs/2304.01373,,,
Jurassic-1,AI21 Labs,https://www.ai21.com/studio,178,,,,,,,𝕎,21-Aug,🔴,,,Later renamed J2.,
Chinchilla,Google DeepMind,https://deepmind.google/discover/blog/an-empirical-analysis-of-compute-optimal-large-language-model-training/,70,1400,20:01,,67.5,,,🆆 📚⬆ 🕸,22-Mar,🔴,https://arxiv.org/abs/2203.15556,,Early model with compute-optimal training.,
Claude 3 Haiku,Anthropic,https://claude.ai/,175,2000,12:01,,76,47.8,40.9,🆆 📚⬆ 🕸 🌋,24-Mar,🟢,https://www.anthropic.com/claude-3-model-card,,,
Gemini 1.5 Flash-8B,Google DeepMind,https://ai.google.dev/gemini-api,8,2000,250:01:00,,70.3,,,🆆 📚⬆ 🕸 🌋 (over 2T),24-Jun,🟢,,,,
Gemma 2 27B,Google DeepMind,https://deepmind.google/technologies/gemma/,27,8000,300:01:00,,77.7,,,🆆 📚⬆ 🕸 🌋,24-Aug,🟢,,,100k context.,
Mistral 7B,Mistral AI,https://mistral.ai/news/,7,1500,215:01:00,,62.3,,,🆆 📚⬆ 🕸,23-Sep,🟢,https://github.com/mistralai/mistral-src,,"Original Mistral-7B. MMLU=62.3, but 8xMixtral-7B=69.2. Instruction tuned = 59.5 MMLU.",
PaLM 2-S,Google,https://ai.google/discover/palm2/,340,3500,10:01,,74.3,,,🆆 📚⬆ 🕸,23-May,🔴,,,L = 540B params. M = 340B. S = 170B.,
Gemini 1.0 Ultra,Google DeepMind,https://deepmind.google/technologies/gemini/#gemini-10,,,,,90,,,🆆 📚⬆ 🕸 🌋,23-Dec,🟢,https://storage.googleapis.com/deepmind-media/gemini/gemini_1_report.pdf,,"MMLU=90.0 (GPT-4=86.4, Claude 2=76.5). ""Compute cost of Ultra model is quite steep, and the model is resource-intensive.""",
Llama 2 70B,Meta AI,https://llama.meta.com/,70,2000,29:01:00,,69,41.7,28.1,🆆 📚⬆ 🕸 (mostly focusing on 🆆),23-Jul,🟢,,"Dense, Chat",4k context window.,
Mixtral of Experts (8x7B),Mistral AI,https://mistral.ai/news/mixtral-of-experts/,47,8000,170:01:00,,70.6,46.9,41,🆆 📚⬆ 🕸 (mixture),23-Dec,🟢,https://arxiv.org/abs/2401.04088,MoE,"8 experts with 12B parameters each, but only uses 2 per token = 7B active + 5B for routing. (Think MOE, but not SMOE). Original MMLU=69.5, but later updated to 70.6.  MMLU with 5-shot prompting = 69.8. Paper: ""We release our model with a permissive license (Apache 2.0), to immediately allow builders to experiment and innovate.""",
Phi-2,Microsoft,https://www.microsoft.com/en-us/research/blog/phi-2-the-surprising-power-of-small-language-models/,2.7,1400,530:01:00,,58.4,,,🧪,23-Dec,🟢,https://arxiv.org/abs/2306.11644,,"Known for high performance despite small size. Also has Phi-3 models. ""It is a Transformer-based model with 2.7 billion parameters trained using state-of-the-art methods and aimed at reasoning use cases"" - did better than some 5-40B models. Used ""textbooks quality"" data and synthetic Reasoning-Enhanced Training (REST).",
Gemini 1.0 Pro,Google DeepMind,https://ai.google.dev/gemini-api,,,,,79,,,🆆 📚⬆ 🕸 🌋,23-Dec,🟢,,https://storage.googleapis.com/deepmind-media/gemini/gemini_1_report.pdf,,Gemini Ultra=90.0 MMLU. Gemini Pro=79.0. Gemini Nano=59.0.
Claude Instant,Anthropic,https://claude.ai/,30,300,10:01,,58.6,,,🆆 📚⬆,23-Mar,🟢,,,Meant to be a fast lightweight option vs Claude 2.,
Yi-9B,01.AI,https://platform.lingyiwanwu.com/,9,3000,333:01:00,,60.7,,,🆆 📚⬆ 🕸 🌋,23-Nov,🟢,https://arxiv.org/abs/2403.04652,,,
BLOOM,BigScience,https://huggingface.co/bigscience/bloom,176,366,2.1:1,,45,,,🆆 📚,22-Nov,🟢,https://arxiv.org/abs/2211.05100,Dense,"Multilingual model in 46+ languages. 176B parameters. BLOOM has very generic MMLU=36.6, but 5-shot MMLU=45.0",
GPT-2,OpenAI,https://platform.openai.com,1.5,40,27:01:00,,46.5,,,π,19-Jun,🟢,https://d4mucfpksywv.cloudfront.net/better-language-models/language_models_are_unsupervised_multitask_learners.pdf,Dense,,
Command R+,Cohere,https://docs.cohere.com/docs/command-r-plus,104,,79.5,53.3,42.4,,,🆆 📚⬆ 🕸,24-Apr,🔴,,,,
